Date,Home Team,Score,Away Team
15-04-2023,Defensa y Justicia,1 - 0,Instituto Cordoba
24-04-2023,Barracas Central,0 - 2,Defensa y Justicia
30-04-2023,Defensa y Justicia,2 - 0,Colon
08-05-2023,San Lorenzo,0 - 0,Defensa y Justicia
14-05-2023,Defensa y Justicia,1 - 1,Estudiantes LP
19-05-2023,Rosario Central,2 - 1,Defensa y Justicia
28-05-2023,Defensa y Justicia,1 - 1,Racing Club
13-06-2023,Defensa y Justicia,2 - 0,Belgrano Cordoba
18-06-2023,River Plate,1 - 0,Defensa y Justicia
24-06-2023,Argentinos Jrs,3 - 1,Defensa y Justicia
02-07-2023,Defensa y Justicia,1 - 0,Tigre
06-07-2023,Arsenal de Sarandi,1 - 2,Defensa y Justicia
09-07-2023,Defensa y Justicia,2 - 2,Lanus
14-07-2023,Godoy Cruz,? - ?,Defensa y Justicia
27-01-2023,Estudiantes LP,1 - 2,Tigre
04-02-2023,Arsenal de Sarandi,1 - 1,Estudiantes LP
13-02-2023,Estudiantes LP,0 - 2,Lanus
18-02-2023,Godoy Cruz,0 - 1,Estudiantes LP
25-02-2023,Estudiantes LP,1 - 1,Sarmiento Junin
03-03-2023,Union Santa Fe,2 - 0,Estudiantes LP
12-03-2023,Estudiantes LP,2 - 1,Huracan
19-03-2023,Gimnasia LP,2 - 1,Estudiantes LP
31-03-2023,Estudiantes LP,3 - 0,Newells
09-04-2023,CA Independiente,1 - 2,Estudiantes LP
13-04-2023,Estudiantes LP,0 - 0,CA Tucuman
15-04-2023,Boca Juniors,0 - 1,Estudiantes LP
23-04-2023,Estudiantes LP,1 - 0,Talleres Cord.
27-04-2023,Platense,1 - 2,Estudiantes LP
08-05-2023,Estudiantes LP,2 - 0,Velez Sarsfield
14-05-2023,Defensa y Justicia,1 - 1,Estudiantes LP
19-05-2023,Estudiantes LP,1 - 0,Banfield
29-05-2023,Instituto Cordoba,0 - 0,Estudiantes LP
02-06-2023,Estudiantes LP,5 - 2,Barracas Central
13-06-2023,Colon,1 - 0,Estudiantes LP
21-06-2023,Estudiantes LP,1 - 1,San Lorenzo
01-07-2023,Estudiantes LP,1 - 1,CA Central Córdoba de Santiago del Estero
05-07-2023,Rosario Central,0 - 0,Estudiantes LP
08-07-2023,Estudiantes LP,0 - 0,Racing Club
15-07-2023,River Plate,? - ?,Estudiantes LP
30-01-2023,Velez Sarsfield,3 - 1,Gimnasia LP
06-02-2023,Gimnasia LP,0 - 2,Defensa y Justicia
12-02-2023,Banfield,0 - 0,Gimnasia LP
17-02-2023,Gimnasia LP,2 - 0,Instituto Cordoba
27-02-2023,Barracas Central,1 - 0,Gimnasia LP
04-03-2023,Gimnasia LP,0 - 0,Colon
11-03-2023,San Lorenzo,4 - 0,Gimnasia LP
19-03-2023,Gimnasia LP,2 - 1,Estudiantes LP
31-03-2023,Rosario Central,3 - 1,Gimnasia LP
08-04-2023,Gimnasia LP,3 - 1,Racing Club
13-04-2023,River Plate,3 - 0,Gimnasia LP
16-04-2023,Gimnasia LP,0 - 2,Belgrano Cordoba
25-04-2023,Argentinos Jrs,2 - 4,Gimnasia LP
29-04-2023,Gimnasia LP,1 - 1,Tigre
08-05-2023,Arsenal de Sarandi,0 - 1,Gimnasia LP
15-05-2023,Gimnasia LP,1 - 0,Lanus
19-05-2023,Godoy Cruz,2 - 0,Gimnasia LP
27-05-2023,Gimnasia LP,0 - 0,Sarmiento Junin
04-06-2023,Union Santa Fe,2 - 0,Gimnasia LP
13-06-2023,Gimnasia LP,1 - 0,Huracan
