title,author,narrator,length,release_date,language,regular_price
Cassandra in Reverse,Holly Smale,Kristin Atherton,13 hrs and 15 mins,2023-06-06,English,40.01
The Only One Left,Riley Sager,"Dawn Harvey,Christine Lakin",12 hrs and 32 mins,2023-06-20,English,39.48
Sex at Dawn,"Christopher Ryan,Cacilda Jetha","Allyson Johnson,Jonathan Davis,Christopher Ryan (Preface)",10 hrs and 57 mins,2010-11-02,English,31.27
Contractually Yours,Nadia Lee,"Sebastian York,Maxine Mitchell",11 hrs and 44 mins,2023-06-10,English,31.27
Flawless,Elsie Silver,"Sebastian York,Emma Wilder",9 hrs and 44 mins,2022-12-14,English,25.00
The Awe of God,John Bevere,John Bevere,7 hrs and 28 mins,2023-02-21,English,31.44
Palazzo,Danielle Steel,James Babson,7 hrs and 14 mins,2023-06-27,English,26.30
The Battle of the Labyrinth,Rick Riordan,Jesse Bernstein,10 hrs and 31 mins,2008-08-29,English,32.46
The Way of Kings,Brandon Sanderson,"Kate Reading,Michael Kramer",45 hrs and 30 mins,2010-08-31,English,59.20
Quantum Supremacy,Michio Kaku,Feodor Chin,10 hrs and 41 mins,2023-05-02,English,39.48
All My Knotted-Up Life,Beth Moore,Beth Moore,8 hrs and 29 mins,2023-02-21,English,21.89
Archer's Voice,Mia Sheridan,"Kris Koscheski,Emily Durante",11 hrs and 7 mins,2022-08-01,English,40.01
The Daddy Diaries,Andy Cohen,Andy Cohen,10 hrs and 32 mins,2023-05-09,English,31.97
The In-Between,Hadley Vlahos R.N.,Hadley Vlahos R.N.,7 hrs and 19 mins,2023-06-13,English,35.09
A Little Life,Hanya Yanagihara,Oliver Wyman,32 hrs and 51 mins,2022-11-01,English,61.41
"Gardez l'oeil ouvert, Tome 3",Victoria Charlton,Victoria Charlton,8 hrs,2023-03-02,French,24.99
Plus jamais sans moi,Maud Ankaoua,Camille Lamache,8 hrs and 12 mins,2023-01-05,French,30.69
The Night of the Party,Anna-Lou Weatherley,James Lailey,10 hrs and 12 mins,2022-12-01,English,25.96
Death's End,"Cixin Liu,Ken Liu - translator",P. J. Ochlan,28 hrs and 51 mins,2016-09-20,English,53.29
The Ritual,Shantel Tessier,"Wen Ross,Zara Eden",16 hrs and 46 mins,2023-05-09,English,31.27
Yellowface,R. F. Kuang,Helen Laser,8 hrs and 39 mins,2023-05-16,English,40.01
Lolita,Vladimir Nabokov,Jeremy Irons,11 hrs and 28 mins,2005-09-26,English,23.65
Winter’s Gifts,Ben Aaronovitch,Penelope Rawlins,5 hrs and 29 mins,2023-06-23,English,21.92
The Nanny,Lana Ferguson,"Samantha Summers,Jameson Adams",13 hrs and 15 mins,2023-04-11,English,39.48
UFO of God,Chris Bledsoe,Daniel Roueche,7 hrs and 52 mins,2023-02-24,English,25.00
Inheritance,Christopher Paolini,Gerard Doyle,31 hrs and 17 mins,2011-11-08,English,57.90
New Moon,Stephenie Meyer,Ilyana Kadushin,14 hrs and 51 mins,2006-08-25,English,47.37
Bigger Leaner Stronger,Michael Matthews,Michael Matthews,14 hrs and 16 mins,2012-12-30,English,20.09
Back Blast,Mark Greaney,Jay Snyder,18 hrs and 20 mins,2016-02-16,English,37.53
Old Man's War,John Scalzi,William Dufris,9 hrs and 55 mins,2007-10-02,English,42.25
The Unseen Realm,Dr. Michael S. Heiser,Gordon Greenhill,15 hrs and 43 mins,2015-12-18,English,33.54
Babylon's Ashes,James S. A. Corey,Jefferson Mays,19 hrs and 58 mins,2016-12-06,English,42.87
"Listener's Audio Bible—New International Version, NIV: Complete Bible",Max McLean,Max McLean,75 hrs and 14 mins,2015-11-03,English,42.88
TDAH chez l'adulte,Ariane Hébert,Roxane Tremblay-Marcotte,3 hrs and 40 mins,2023-01-19,French,21.99
Yellowface,R. F. Kuang,Helen Laser,8 hrs and 39 mins,2023-05-16,English,40.01
Haunting Adeline,H. D. Carlton,"Teddy Hamilton,Michelle Sparks",15 hrs and 47 mins,2022-08-29,English,31.27
Things We Hide from the Light,Lucy Score,"Lila Winters,Sebastian York",17 hrs and 36 mins,2023-02-21,English,31.27
Contractually Yours,Nadia Lee,"Sebastian York,Maxine Mitchell",11 hrs and 44 mins,2023-06-10,English,31.27
Playground,Aron Beauregard,Lila Kerry,9 hrs and 56 mins,2022-12-19,English,25.00
Smart Sex,Emily Morse,Emily Morse,8 hrs and 37 mins,2023-06-13,English,40.01
Behind Closed Doors,B. A. Paris,Georgia Maguire,8 hrs and 30 mins,2016-08-09,English,26.30
A Gentleman in Moscow,Amor Towles,Nicholas Guy Smith,17 hrs and 52 mins,2016-09-06,English,43.86
The Primal Hunter 5,Zogarth,Travis Baldree,17 hrs and 47 mins,2023-05-17,English,31.27
Best Served Cold,Joe Abercrombie,Steven Pacey,26 hrs and 28 mins,2010-08-19,English,34.16
The Witching Hour,Anne Rice,Kate Reading,50 hrs and 1 min,2015-10-13,English,78.95
"Star Wars: The Thrawn Trilogy, Book 3: The Last Command",Timothy Zahn,Marc Thompson,15 hrs and 47 mins,2012-06-26,English,45.16
I Have Some Questions for You,Rebecca Makkai,"Julia Whelan,JD Jackson",14 hrs and 4 mins,2023-02-21,English,39.48
Conspirituality,"Derek Beres,Matthew Remski,Julian Walker",Matthew Remski,13 hrs and 55 mins,2023-06-13,English,47.37
Captive (French edition),Sarah Rivens,Cachou Kirsch,15 hrs and 10 mins,2022-12-14,French,39.01
Avoir le courage de ne pas être aimé,"Ichiro Kishimi,Fumitake Koga","Lucas Vauthier,Joffre Lorre",5 hrs and 42 mins,2023-05-02,French,25.05
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Dr. Benjamin Hardy,9 hrs and 58 mins,2023-05-09,English,26.30
Bad Summer People,Emma Rosenblum,January LaVoy,9 hrs and 48 mins,2023-05-23,English,31.97
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,MJ DeMarco,12 hrs and 46 mins,2015-08-11,English,31.27
Maple,David Goudreault,Sandrine Bisson,4 hrs and 48 mins,2023-02-09,French,27.99
Happy Place,Emily Henry,Julia Whelan,11 hrs and 3 mins,2023-04-25,English,39.48
American Gods: The Tenth Anniversary Edition (A Full Cast Production),Neil Gaiman,"Ron McLarty,Daniel Oreskes,full cast",19 hrs and 39 mins,2011-06-21,English,55.75
Homer Box Set: Iliad & Odyssey,"Homer,W. H. D. Rouse - translator",Anthony Heald,25 hrs and 2 mins,2012-12-14,English,25.36
The Tipping Point,Malcolm Gladwell,Malcolm Gladwell,8 hrs and 34 mins,2006-12-31,English,38.59
Assassin's Quest,Robin Hobb,Paul Boehmer,37 hrs and 35 mins,2010-08-03,English,57.01
The Silva Method,Ph.D Robert B. Stone,Ph.D. Robert B. Stone,6 hrs and 57 mins,2014-10-14,English,57.73
We Are Legion (We Are Bob),Dennis E. Taylor,Ray Porter,9 hrs and 56 mins,2016-09-20,English,25.00
The Midwife of Auschwitz,Anna Stuart,Sophie Aldred,11 hrs and 42 mins,2022-05-31,English,31.27
I Have Some Questions for You,Rebecca Makkai,"Julia Whelan,JD Jackson",14 hrs and 4 mins,2023-02-21,English,39.48
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Dr. Benjamin Hardy,9 hrs and 58 mins,2023-05-09,English,26.30
The Body Revelation,"Alisa Keeton,Jess Connolly - foreword",Alisa Keeton,9 hrs and 53 mins,2023-06-13,English,26.28
Dust,Hugh Howey,Edoardo Ballerini,10 hrs and 53 mins,2023-04-11,English,36.81
Ego Is the Enemy,Ryan Holiday,Ryan Holiday,6 hrs and 56 mins,2016-06-14,English,21.93
The Lightning Thief,Rick Riordan,Jesse Bernstein,10 hrs and 2 mins,2005-07-01,English,35.09
The Housemaid's Secret,Freida McFadden,Lauryn Allman,9 hrs and 44 mins,2023-02-20,English,25.00
The Four Agreements,don Miguel Ruiz,Peter Coyote,2 hrs and 31 mins,2005-01-27,English,15.75
The Nightingale,Kristin Hannah,Polly Stone,17 hrs and 19 mins,2015-02-03,English,39.07
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Marguerite Gavin,6 hrs and 50 mins,2016-05-10,English,30.69
The Martyr's Tomb,Marc Collins,John Banks,14 hrs and 11 mins,2023-07-01,English,40.99
The Secret,Rhonda Byrne,Rhonda Byrne,4 hrs and 24 mins,2006-11-17,English,26.28
The Martyr's Tomb,Marc Collins,John Banks,14 hrs and 11 mins,2023-07-01,English,40.99
World War Z: The Complete Edition,Max Brooks,"Max Brooks,Alan Alda,John Turturro,Rob Reiner,Mark Hamill,Alfred Molina,Simon Pegg,Henry Rollins,Martin Scorsese",12 hrs and 9 mins,2013-05-14,English,35.09
Good to Great,Jim Collins,Jim Collins,10 hrs and 1 min,2010-07-13,English,45.74
Grace Note,J. Bengtsson,"Andi Arndt,Zachary Webber",11 hrs and 49 mins,2023-06-28,English,31.27
We Are Legion (We Are Bob),Dennis E. Taylor,Ray Porter,9 hrs and 56 mins,2016-09-20,English,25.00
The Dark Forest,"Cixin Liu,Joel Martinsen - translator",P. J. Ochlan,22 hrs and 36 mins,2015-08-11,English,53.29
Mating in Captivity,Esther Perel,Esther Perel,8 hrs and 8 mins,2006-01-01,English,35.73
The Dare,Harley LaRoux,Jaclyn Kelso,3 hrs and 54 mins,2023-05-02,English,43.85
The Pucking Wrong Number,C.R. Jane,"Troy Duran,Alexis Paige",9 hrs and 45 mins,2023-07-11,English,68.91
The Whole-Brain Child,"Daniel J. Siegel,Tina Payne Bryson","Daniel J. Siegel,Tina Payne Bryson",6 hrs and 14 mins,2022-12-06,English,35.09
House of Beating Wings,Olivia Wildenstein,Olivia King,15 hrs and 30 mins,2023-01-31,English,31.27
Devenir super-conscient,Joe Dispenza,Joffrey Lorre,14 hrs and 4 mins,2023-06-06,French,30.64
Journeys Out of the Body,Robert Monroe,Kevin Pierce,10 hrs and 33 mins,2014-04-11,English,31.27
Heartstrong,Ellidy Pullin,"Chris Pullin,Ellidy Pullin",6 hrs and 22 mins,2023-07-01,English,31.43
The Theory of Everything Else,Dan Schreiber,"Dan Schreiber,Jamie Morton,Ella Al-Shamahi,Craig Glenday",8 hrs and 32 mins,2023-06-27,English,40.01
The Creative Act,Rick Rubin,Rick Rubin,5 hrs and 45 mins,2023-01-17,English,39.48
His Pretty Little Burden,Nicci Harris,"Shane East,Sofia Lette",12 hrs and 8 mins,2023-06-27,English,31.27
Becoming Free Indeed,"Jinger Duggar Vuolo,Corey Williams",Jinger Duggar Vuolo,5 hrs and 49 mins,2023-01-31,English,31.44
Queen of Shadows,Sarah J. Maas,Elizabeth Evans,20 hrs and 43 mins,2015-09-01,English,43.79
Bad Blood,John Carreyrou,Will Damron,11 hrs and 37 mins,2018-05-21,English,39.48
The Four Foundations of Golf,Jon Sherman,Jon Sherman,9 hrs and 46 mins,2022-10-25,English,25.00
Give and Take,Adam M. Grant PhD,Brian Keith Lewis,11 hrs and 50 mins,2013-04-09,English,39.48
