title,author,narrator,length,release_date,language,regular_price
L'art de la guerre,Sun Tzu,Hervé Lacroix,2 hrs and 34 mins,2009-06-17,French,13.23
American Sniper,"Chris Kyle,Scott McEwan,Jim DeFelice",John Pruden,10 hrs and 18 mins,2012-01-03,English,40.01
For Whom the Bell Tolls,Ernest Hemingway,Campbell Scott,16 hrs and 17 mins,2006-05-01,English,35.47
Rogue Heroes,Ben Macintyre,Ben Macintyre,13 hrs and 1 min,2016-10-04,English,40.04
Life 3.0,Max Tegmark,Rob Shapiro,13 hrs and 29 mins,2017-08-29,English,39.48
Interview with the Vampire,Anne Rice,Simon Vance,14 hrs and 24 mins,2011-05-31,English,43.86
Psychopath Free: Expanded Edition,Jackson MacKenzie,Shaun Grindell,7 hrs and 57 mins,2015-09-01,English,35.08
A Discovery of Witches,Deborah Harkness,Jennifer Ikeda,23 hrs and 59 mins,2011-02-08,English,57.02
The 4-Hour Body,Timothy Ferriss,Zach McLarty,3 hrs and 51 mins,2010-12-14,English,38.60
Gardens of the Moon,Steven Erikson,Ralph Lister,26 hrs and 3 mins,2012-10-02,English,41.22
Power vs. Force,Dr. David R. Hawkins,Dr. David R. Hawkins,8 hrs and 10 mins,2006-01-01,English,42.95
How Not to Die,"Michael Greger MD FACLM,Gene Stone",Michael Greger MD FACLM,17 hrs and 9 mins,2015-12-08,English,43.85
Fire Weather,John Vaillant,Alan Carlson,14 hrs and 17 mins,2023-05-23,English,50.00
Beyond the Story,"BTS,Myeongseok Kang,Anton Hur - translator,Slin Jung - translator,Clare Richards - translator","Kim Young-Gi,Park Chan-won",11 hrs and 18 mins,2023-07-09,English,31.97
À une lettre du bonheur,"Vi Keeland,Penelope Ward","Flora Kaprielian,Jean-Luc Yem",9 hrs and 38 mins,2023-06-28,French,27.85
Maigrir Facilement Avec L'anneau Gastrique Virtuel Hypnotique [Lose Weight Easily with Hypnotic Virtual Gastric Band],Alexandre Leroi,"Jeremy Dubard,Ludovic Colot",1 hr and 38 mins,2022-07-21,French,8.71
The Trap,David Icke,David Icke,18 hrs and 56 mins,2022-08-24,English,31.27
A Memory of Light,"Robert Jordan,Brandon Sanderson","Michael Kramer,Kate Reading",41 hrs and 47 mins,2013-01-08,English,70.17
The Dark Tower II,Stephen King,Frank Muller,12 hrs and 47 mins,2016-01-01,English,28.41
Before We Were Yours,Lisa Wingate,"Emily Rankin,Catherine Taber",14 hrs and 29 mins,2017-06-06,English,43.86
Magic Tree House Collection: Books 1-8,Mary Pope Osborne,Mary Pope Osborne,6 hrs and 1 min,2011-09-27,English,42.11
The Godfather,"Mario Puzo,Francis Ford Coppola - introduction,Anthony Puzo - note,Robert J. Thompson - afterword","Joe Mantegna,Anthony Puzo,Angelo Di Loreto",18 hrs and 48 mins,2012-03-13,English,39.46
Wired for Love,Stan Tatkin PsyD MFT,Michael Hinton,7 hrs and 37 mins,2015-11-03,English,30.69
The 80/20 Principle,Richard Koch,Richard Koch,6 hrs and 47 mins,2014-10-14,English,53.83
The Hidden Life of Trees,Peter Wohlleben,Mike Grady,7 hrs and 33 mins,2016-09-13,English,31.42
Autobiography of a Yogi,Paramahansa Yogananda,Ben Kingsley,17 hrs and 50 mins,2004-10-07,English,42.11
Twilight,Stephenie Meyer,Ilyana Kadushin,12 hrs and 51 mins,2005-10-05,English,42.11
Les quatre accords toltèques,Don Miguel Ruiz,Nicolas Djermag,2 hrs and 56 mins,2016-05-11,French,24.99
The Magic of Thinking Big,David Schwartz,Jason Culp,9 hrs and 31 mins,2015-10-06,English,26.30
The Highly Sensitive Person,Elaine N. Aron,Barbara Caruso,9 hrs and 57 mins,2008-11-07,English,39.44
Maybe You Should Talk to Someone,Lori Gottlieb,Brittany Pressley,14 hrs and 21 mins,2019-04-02,English,43.80
Offside Hearts,Nikki Lawson,"Beth Nicholls,CJ Grey",13 hrs and 27 mins,2023-05-11,English,31.27
Paris,Paris Hilton,Paris Hilton,8 hrs and 22 mins,2023-03-14,English,40.01
The Five-Star Weekend,Elin Hilderbrand,Erin Bennett,12 hrs and 45 mins,2023-06-13,English,45.74
Fifty Shades of Grey,E. L. James,Becca Battoe,19 hrs and 48 mins,2012-04-03,English,42.11
A Man Called Ove,Fredrik Backman,Joan Walker,9 hrs and 12 mins,2014-07-03,English,30.06
Quiet,Susan Cain,Kathe Mazur,10 hrs and 39 mins,2012-01-24,English,35.09
The Unbearable Lightness of Being,"Milan Kundera,Michael Henry Heim - translator",Richmond Hoxie,9 hrs and 37 mins,2012-05-15,English,40.01
Six of Crows,Leigh Bardugo,"Jay Snyder,Brandon Rubin,Fred Berman,Lauren Fortgang,Roger Clark,Elizabeth Evans,Tristan Morris",15 hrs and 4 mins,2015-09-29,English,40.26
The Daily Stoic,"Ryan Holiday,Stephen Hanselman",Brian Holsopple,10 hrs and 6 mins,2016-10-18,English,15.55
"Love, Pamela",Pamela Anderson,Pamela Anderson,5 hrs and 28 mins,2023-01-31,English,40.01
Legends & Lattes,Travis Baldree,Travis Baldree,7 hrs and 19 mins,2022-06-14,English,23.67
Cobalt Red,Siddharth Kara,Peter Ganim,11 hrs and 18 mins,2023-01-31,English,31.97
The Terminal List,Jack Carr,Ray Porter,12 hrs and 3 mins,2018-03-06,English,28.41
Murder at the Crown and Anchor,C.J. Archer,Marian Hussey,7 hrs and 37 mins,2023-06-16,English,25.00
Beyond the Wand,Tom Felton,Tom Felton,6 hrs and 36 mins,2022-10-18,English,35.73
Surrender,Bono,Bono,20 hrs and 25 mins,2022-11-01,English,57.02
Midnight in the Garden of Good and Evil,John Berendt,Jeff Woodman,15 hrs and 4 mins,2005-12-01,English,42.25
The Magic,Rhonda Byrne,Rhonda Byrne,4 hrs and 45 mins,2022-12-06,English,23.67
Dark Places,Gillian Flynn,"Rebecca Lowman,Cassandra Campbell,Mark Deakins,Robertson Dean",13 hrs and 43 mins,2009-05-05,English,39.48
Cinema Speculation,Quentin Tarantino,"Edoardo Ballerini,Quentin Tarantino",10 hrs and 9 mins,2022-11-01,English,40.01
Smarter Not Harder,Dave Asprey,Dave Asprey,8 hrs and 31 mins,2023-02-28,English,40.01
What Lies in the Woods,Kate Alice Marshall,Karissa Vacker,11 hrs and 16 mins,2023-01-17,English,31.97
Disentangling from Emotionally Immature People,Lindsay C. Gibson PsyD,Rachel Perry,9 hrs and 23 mins,2023-07-01,English,21.92
Plays Well with Others,Lauren Blakely,"Erin Mallon,Teddy Hamilton",8 hrs and 49 mins,2023-07-12,English,25.00
The Dragonet Prophecy,Tui T. Sutherland,Shannon McManus,8 hrs and 32 mins,2012-07-01,English,30.69
Warbreaker,Brandon Sanderson,Alyssa Bresnahan,24 hrs and 56 mins,2015-12-03,English,30.69
Crooked Kingdom,Leigh Bardugo,"Roger Clark,Jay Snyder,Elizabeth Evans,Fred Berman,Brandon Rubin,Kevin T. Collins,Lauren Fortgang,Peter Ganim",17 hrs and 58 mins,2016-09-27,English,37.53
Hyperion,Dan Simmons,"Marc Vietor,Allyson Johnson,Kevin Pariseau,Jay Snyder,Victor Bevine",20 hrs and 44 mins,2008-12-22,English,33.59
Beartown,Fredrik Backman,Marin Ireland,13 hrs and 11 mins,2017-04-25,English,35.08
The Book Thief,Markus Zusak,Allan Corduner,13 hrs and 56 mins,2006-09-14,English,44.74
Graves on the Fens,Joy Ellis,Henrietta Meire,10 hrs and 50 mins,2023-02-07,English,26.30
The Emotional Lives of Teenagers,Lisa Damour Ph.D.,Lisa Damour Ph.D.,6 hrs and 15 mins,2023-02-21,English,35.09
The Inmate,Freida McFadden,Leslie Howard,8 hrs and 5 mins,2022-07-26,English,57.01
The Gathering Storm,"Robert Jordan,Brandon Sanderson","Michael Kramer,Kate Reading",32 hrs and 58 mins,2009-10-27,English,59.20
Beyond the Wand,Tom Felton,Tom Felton,6 hrs and 36 mins,2022-10-18,English,35.73
Surrender,Bono,Bono,20 hrs and 25 mins,2022-11-01,English,57.02
Midnight in the Garden of Good and Evil,John Berendt,Jeff Woodman,15 hrs and 4 mins,2005-12-01,English,42.25
The Magic,Rhonda Byrne,Rhonda Byrne,4 hrs and 45 mins,2022-12-06,English,23.67
Dark Places,Gillian Flynn,"Rebecca Lowman,Cassandra Campbell,Mark Deakins,Robertson Dean",13 hrs and 43 mins,2009-05-05,English,39.48
Cinema Speculation,Quentin Tarantino,"Edoardo Ballerini,Quentin Tarantino",10 hrs and 9 mins,2022-11-01,English,40.01
Smarter Not Harder,Dave Asprey,Dave Asprey,8 hrs and 31 mins,2023-02-28,English,40.01
What Lies in the Woods,Kate Alice Marshall,Karissa Vacker,11 hrs and 16 mins,2023-01-17,English,31.97
Disentangling from Emotionally Immature People,Lindsay C. Gibson PsyD,Rachel Perry,9 hrs and 23 mins,2023-07-01,English,21.92
Plays Well with Others,Lauren Blakely,"Erin Mallon,Teddy Hamilton",8 hrs and 49 mins,2023-07-12,English,25.00
The Dragonet Prophecy,Tui T. Sutherland,Shannon McManus,8 hrs and 32 mins,2012-07-01,English,30.69
Warbreaker,Brandon Sanderson,Alyssa Bresnahan,24 hrs and 56 mins,2015-12-03,English,30.69
Crooked Kingdom,Leigh Bardugo,"Roger Clark,Jay Snyder,Elizabeth Evans,Fred Berman,Brandon Rubin,Kevin T. Collins,Lauren Fortgang,Peter Ganim",17 hrs and 58 mins,2016-09-27,English,37.53
Hyperion,Dan Simmons,"Marc Vietor,Allyson Johnson,Kevin Pariseau,Jay Snyder,Victor Bevine",20 hrs and 44 mins,2008-12-22,English,33.59
Beartown,Fredrik Backman,Marin Ireland,13 hrs and 11 mins,2017-04-25,English,35.08
The Book Thief,Markus Zusak,Allan Corduner,13 hrs and 56 mins,2006-09-14,English,44.74
Graves on the Fens,Joy Ellis,Henrietta Meire,10 hrs and 50 mins,2023-02-07,English,26.30
The Emotional Lives of Teenagers,Lisa Damour Ph.D.,Lisa Damour Ph.D.,6 hrs and 15 mins,2023-02-21,English,35.09
The Inmate,Freida McFadden,Leslie Howard,8 hrs and 5 mins,2022-07-26,English,57.01
The Gathering Storm,"Robert Jordan,Brandon Sanderson","Michael Kramer,Kate Reading",32 hrs and 58 mins,2009-10-27,English,59.20
